REG,DEP,ARR,SEXE,AGE,AGE6,ACTEU,DIP7,PCS1Q,ANCCHOM,HHID,HH_TAILLE,HH_AGE,HH_DIP,HH_PCS,IS_CHOM
76,81,812,2,56,50,1,2,30,99,5014,6,57,2,30,0
76,81,812,1,27,25,1,4,61,99,5014,6,57,2,30,0
76,81,812,1,23,15,1,5,61,99,5014,6,57,2,30,0
76,12,123,1,42,25,1,2,40,99,267,4,43,2,40,0
76,12,123,2,40,25,1,2,40,99,267,4,43,2,40,0
76,34,343,1,56,50,1,5,61,99,1893,2,56,5,61,0
28,50,502,2,84,65,3,4,99,99,2217,2,84,4,99,0
11,92,922,1,40,25,1,4,40,99,5664,4,48,3,51,0
11,92,922,2,42,25,1,3,51,99,5664,4,48,3,51,0
11,93,933,2,71,65,3,7,99,99,6427,4,76,5,99,0
11,93,933,1,71,65,3,5,99,99,6427,4,76,5,99,0
11,75,751,2,48,25,1,4,51,99,3206,6,48,4,51,0
11,75,751,1,28,25,1,5,40,99,3206,6,48,4,51,0
11,75,751,1,16,15,3,7,99,99,3206,6,48,4,51,0
11,75,751,1,68,65,1,6,61,99,3192,4,86,7,99,0
11,75,751,1,86,65,3,7,99,99,3192,4,86,7,99,0
76,31,313,1,52,50,1,1,30,99,1334,6,61,4,99,0
76,31,313,2,61,50,3,4,99,99,1334,6,61,4,99,0
76,31,313,1,21,15,3,3,99,99,1334,6,61,4,99,0
76,12,122,2,61,50,2,3,99,3,276,5,61,3,99,1
76,12,122,1,50,50,1,5,30,99,276,5,61,3,99,0
28,27,273,1,46,25,1,5,61,99,565,4,48,5,61,0
28,27,273,2,38,25,1,5,51,99,565,4,48,5,61,0
11,75,751,1,76,65,3,3,99,99,3429,2,83,3,99,0
11,94,941,1,51,50,1,4,61,99,6839,1,51,4,61,0
76,11,111,1,55,50,1,5,61,99,75,3,81,5,99,0
76,11,111,2,81,65,3,5,99,99,75,3,81,5,99,0
76,30,302,1,57,50,1,1,30,99,1123,6,62,2,40,0
76,30,302,2,62,50,1,2,40,99,1123,6,62,2,40,0
76,30,302,2,16,15,3,6,99,99,1123,6,62,2,40,0
76,31,313,2,48,25,1,5,61,99,1216,2,48,5,61,0
28,14,143,2,42,25,1,2,51,99,470,8,45,2,51,0
28,14,143,1,26,25,1,1,30,99,470,8,45,2,51,0
28,14,143,2,15,15,3,4,99,99,470,8,45,2,51,0
28,14,143,1,20,15,1,6,61,99,470,8,45,2,51,0
28,76,761,2,81,65,3,7,99,99,3883,4,88,7,99,0
28,76,761,1,76,65,3,7,99,99,3883,4,88,7,99,0
28,14,143,2,54,50,1,2,40,99,414,4,62,2,40,0
28,14,143,1,55,50,1,1,30,99,414,4,62,2,40,0
11,78,783,1,51,50,1,1,30,99,4521,6,62,1,30,0
11,78,783,2,41,25,1,5,51,99,4521,6,62,1,30,0
11,78,783,1,17,15,3,6,99,99,4521,6,62,1,30,0
28,27,272,2,71,65,3,3,99,99,702,2,86,3,99,0
11,75,751,2,66,65,3,3,99,99,3282,2,67,3,99,0
76,11,112,1,88,65,3,2,99,99,157,4,88,2,99,0
76,11,112,2,81,65,3,2,99,99,157,4,88,2,99,0
76,30,302,1,79,65,3,5,99,99,1052,4,85,5,99,0
76,30,302,2,76,65,3,5,99,99,1052,4,85,5,99,0
11,92,921,1,70,65,3,5,99,99,6036,4,86,3,99,0
11,92,921,2,73,65,3,3,99,99,6036,4,86,3,99,0
76,12,123,1,71,65,3,6,99,99,284,4,82,6,99,0
76,12,123,2,61,50,1,3,40,99,284,4,82,6,99,0
76,66,662,1,73,65,3,7,99,99,2724,4,80,7,99,0
76,66,662,2,73,65,3,7,99,99,2724,4,80,7,99,0
76,66,662,2,42,25,3,4,99,99,2710,6,46,7,61,0
76,66,662,1,26,25,1,7,61,99,2710,6,46,7,61,0
76,66,662,1,15,15,3,6,99,99,2710,6,46,7,61,0
94,2A,2A4,2,18,15,1,4,40,99,791,2,18,4,40,0
76,09,093,2,37,25,1,1,30,99,44,2,37,1,30,0
11,93,933,1,52,50,1,5,30,99,6758,2,57,5,30,0
11,94,943,2,51,50,1,5,62,99,6806,2,62,5,62,0
11,75,751,1,87,65,3,5,99,99,3321,4,87,5,99,0
11,75,751,2,52,50,1,6,52,99,3321,4,87,5,99,0
11,92,923,2,82,65,3,7,99,99,5849,2,82,7,99,0
28,27,271,2,83,65,3,7,99,99,542,2,83,7,99,0
76,12,121,2,46,25,3,4,99,99,186,1,46,4,99,0
11,93,932,2,46,25,1,2,40,99,6330,1,46,2,40,0
28,50,501,1,43,25,2,1,99,1,2353,2,43,1,99,1
11,92,921,1,30,25,1,5,51,99,5842,2,34,5,51,0
11,91,912,2,89,65,3,5,99,99,5410,2,89,5,99,0
11,92,921,2,44,25,1,4,40,99,5825,2,44,4,40,0
11,93,932,2,59,50,1,5,40,99,6336,6,62,5,40,0
11,93,932,1,51,50,1,2,20,99,6336,6,62,5,40,0
11,93,932,2,20,15,3,6,99,99,6336,6,62,5,40,0
11,95,953,2,27,25,1,1,30,99,7522,4,47,1,30,0
11,95,953,1,32,25,1,1,30,99,7522,4,47,1,30,0
11,77,773,1,61,50,1,3,30,99,4253,4,63,3,30,0
11,77,773,2,52,50,1,1,30,99,4253,4,63,3,30,0
76,12,121,2,44,25,3,2,99,99,260,2,46,2,99,0
76,09,092,1,36,25,1,1,30,99,46,2,36,1,30,0
76,30,302,2,30,25,1,2,30,99,965,6,55,1,30,0
76,30,302,1,53,50,1,1,30,99,965,6,55,1,30,0
76,30,302,2,20,15,3,6,99,99,965,6,55,1,30,0
11,77,775,2,21,15,3,4,99,99,4085,2,21,4,99,0
11,93,933,2,21,15,3,4,99,99,6432,2,23,4,99,0
11,92,921,1,47,25,1,1,30,99,5860,4,47,1,30,0
11,92,921,2,35,25,1,1,30,99,5860,4,47,1,30,0
11,94,943,2,59,50,1,2,40,99,7110,4,62,3,30,0
11,94,943,1,62,50,1,3,30,99,7110,4,62,3,30,0
11,75,751,1,73,65,3,1,99,99,2783,4,78,2,99,0
11,75,751,2,66,65,3,2,99,99,2783,4,78,2,99,0
28,76,763,2,55,50,1,5,51,99,3906,6,60,5,51,0
28,76,763,1,51,50,1,4,20,99,3906,6,60,5,51,0
28,76,763,2,16,15,3,4,99,99,3906,6,60,5,51,0
11,75,751,2,55,50,1,3,40,99,3297,4,55,3,40,0
11,75,751,2,28,25,1,2,51,99,3297,4,55,3,40,0
28,76,763,1,73,65,3,6,99,99,3602,2,87,6,99,0
11,91,912,2,38,25,3,3,99,99,5504,4,60,7,99,0
11,91,912,1,56,50,3,7,99,99,5504,4,60,7,99,0
11,94,943,1,62,50,1,3,10,99,7277,4,62,3,10,0
11,94,943,2,56,50,1,4,10,99,7277,4,62,3,10,0
11,93,931,2,40,25,1,1,40,99,6328,4,40,1,40,0
11,93,931,1,29,25,1,4,10,99,6328,4,40,1,40,0
11,92,923,2,52,50,1,1,30,99,6008,2,59,1,30,0
11,95,951,1,34,25,1,4,51,99,7649,4,40,4,51,0
11,95,951,2,28,25,1,2,40,99,7649,4,40,4,51,0
28,27,272,2,77,65,3,5,99,99,551,4,77,5,99,0
28,27,272,1,73,65,3,5,99,99,551,4,77,5,99,0
11,78,784,1,86,65,3,5,99,99,4489,4,87,5,99,0
11,78,784,2,70,65,3,5,99,99,4489,4,87,5,99,0
11,78,784,2,30,25,1,4,62,99,4736,4,42,3,40,0
11,78,784,1,29,25,1,3,40,99,4736,4,42,3,40,0
11,93,932,2,40,25,1,5,51,99,6425,4,42,7,61,0
11,93,932,1,42,25,1,7,61,99,6425,4,42,7,61,0
76,31,311,1,69,65,3,5,99,99,1289,2,75,5,99,0
11,75,751,1,70,65,3,5,99,99,2861,4,85,5,99,0
11,75,751,2,72,65,3,7,99,99,2861,4,85,5,99,0
11,75,751,2,87,65,3,7,99,99,3338,2,87,7,99,0
11,93,933,2,83,65,3,5,99,99,6499,4,83,5,99,0
11,93,933,1,76,65,3,5,99,99,6499,4,83,5,99,0
11,95,952,2,85,65,3,7,99,99,7580,2,87,7,99,0
11,91,913,2,67,65,3,7,99,99,5459,2,67,7,99,0
76,34,343,1,58,50,3,5,99,99,1720,2,60,5,99,0
11,78,781,1,43,25,1,5,61,99,4425,8,47,4,99,0
11,78,781,2,47,25,3,4,99,99,4425,8,47,4,99,0
11,78,781,2,19,15,1,6,51,99,4425,8,47,4,99,0
11,78,781,1,17,15,3,7,99,99,4425,8,47,4,99,0
76,65,653,1,46,25,1,4,61,99,2554,3,46,4,61,0
76,65,653,2,34,25,1,7,61,99,2554,3,46,4,61,0
11,92,923,2,51,50,1,5,62,99,5703,8,59,5,62,0
11,92,923,1,59,50,1,3,30,99,5703,8,59,5,62,0
11,92,923,1,20,15,3,3,99,99,5703,8,59,5,62,0
11,92,923,1,20,15,3,6,99,99,5703,8,59,5,62,0
76,82,822,2,41,25,1,5,40,99,5127,4,63,5,61,0
76,82,822,1,63,50,1,5,61,99,5127,4,63,5,61,0
11,92,922,1,54,50,2,3,99,4,5815,2,56,3,99,1
11,92,922,2,88,65,3,7,99,99,5841,2,88,7,99,0
11,91,911,1,41,25,1,1,40,99,5289,4,44,2,40,0
11,91,911,2,44,25,1,2,40,99,5289,4,44,2,40,0
76,31,313,1,36,25,1,4,51,99,1363,2,41,4,51,0
11,95,951,2,38,25,1,1,40,99,7329,2,38,1,40,0
11,94,941,2,58,50,1,2,40,99,6855,8,60,2,40,0
11,94,941,1,45,25,1,1,30,99,6855,8,60,2,40,0
11,94,941,1,18,15,1,3,0,99,6855,8,60,2,40,0
11,94,941,1,15,15,3,4,99,99,6855,8,60,2,40,0
76,31,311,2,86,65,3,2,99,99,1384,2,86,2,99,0
11,93,932,2,25,25,1,3,20,99,6638,4,43,4,20,0
11,93,932,1,43,25,1,4,20,99,6638,4,43,4,20,0
11,95,952,2,45,25,1,1,30,99,7406,1,45,1,30,0
11,92,921,2,46,25,1,1,30,99,6129,1,46,1,30,0
11,95,951,2,36,25,1,1,30,99,7439,2,48,1,30,0
11,75,751,1,88,65,3,6,99,99,3065,4,88,6,99,0
11,75,751,1,70,65,3,6,99,99,3065,4,88,6,99,0
28,76,761,1,51,50,3,1,99,99,3580,4,69,3,99,0
28,76,761,1,69,65,3,3,99,99,3580,4,69,3,99,0
11,78,782,1,32,25,1,1,40,99,4421,2,32,1,40,0
76,46,462,1,41,25,1,2,40,99,2169,4,43,1,30,0
76,46,462,2,43,25,1,1,30,99,2169,4,43,1,30,0
76,32,322,2,75,65,3,7,99,99,1647,2,79,7,99,0
76,31,311,2,74,65,3,3,99,99,1278,2,87,3,99,0
11,92,922,2,19,15,1,2,40,99,6184,2,19,2,40,0
11,75,751,2,49,25,1,1,51,99,3300,4,49,1,51,0
11,75,751,1,42,25,1,3,30,99,3300,4,49,1,51,0
76,34,343,2,65,65,3,2,99,99,2025,2,81,2,99,0
76,11,112,1,60,50,1,1,20,99,61,4,63,1,30,0
76,11,112,2,56,50,1,1,30,99,61,4,63,1,30,0
11,75,751,1,89,65,3,1,99,99,3044,6,89,1,99,0
11,75,751,2,64,50,3,4,99,99,3044,6,89,1,99,0
11,75,751,1,16,15,3,4,99,99,3044,6,89,1,99,0
76,34,343,2,87,65,3,2,99,99,2071,4,87,2,99,0
76,34,343,1,79,65,3,1,99,99,2071,4,87,2,99,0
76,31,313,2,69,65,3,3,99,99,1440,4,84,2,99,0
76,31,313,1,84,65,3,2,99,99,1440,4,84,2,99,0
28,27,272,2,84,65,3,1,99,99,631,4,84,1,99,0
28,27,272,2,52,50,1,1,40,99,631,4,84,1,99,0
28,76,762,1,71,65,3,4,99,99,3553,1,71,4,99,0
11,91,913,1,52,50,2,4,99,3,5293,4,61,4,99,1
11,91,913,2,51,50,2,3,99,3,5293,4,61,4,99,1
11,75,751,2,86,65,3,1,99,99,3231,4,87,1,99,0
11,75,751,1,69,65,1,1,10,99,3231,4,87,1,99,0
11,94,943,1,43,25,1,1,30,99,6946,4,49,1,30,0
11,94,943,2,46,25,1,1,30,99,6946,4,49,1,30,0
11,78,783,2,51,50,1,5,51,99,4683,2,61,5,51,0
11,95,951,2,41,25,1,1,30,99,7422,2,41,1,30,0
76,34,341,1,43,25,1,1,30,99,1702,4,49,1,30,0
76,34,341,1,34,25,1,3,40,99,1702,4,49,1,30,0
11,75,751,2,28,25,1,1,30,99,3099,4,35,1,30,0
11,75,751,1,35,25,1,1,30,99,3099,4,35,1,30,0
11,75,751,2,88,65,3,7,99,99,3224,2,88,7,99,0
76,81,811,2,81,65,3,2,99,99,4960,4,87,2,99,0
76,81,811,1,76,65,3,5,99,99,4960,4,87,2,99,0
28,27,272,1,42,25,1,7,40,99,728,4,43,7,40,0
28,27,272,2,41,25,1,1,30,99,728,4,43,7,40,0
76,48,482,1,29,25,1,4,20,99,2198,4,38,4,40,0
76,48,482,1,33,25,1,4,40,99,2198,4,38,4,40,0
28,76,763,1,39,25,1,5,61,99,3843,4,43,5,61,0
28,76,763,2,33,25,3,4,99,99,3843,4,43,5,61,0
11,75,751,2,64,50,1,7,52,99,3112,4,64,7,52,0
11,75,751,1,59,50,1,5,61,99,3112,4,64,7,52,0
11,92,923,1,44,25,1,3,10,99,6095,2,44,3,10,0
11,75,751,2,68,65,3,6,99,99,3331,2,73,6,99,0
11,75,751,1,65,65,3,1,99,99,2742,4,80,1,99,0
11,75,751,2,80,65,3,1,99,99,2742,4,80,1,99,0
11,77,772,2,73,65,3,7,99,99,4204,2,89,7,99,0
11,75,751,2,62,50,1,3,30,99,3033,2,62,3,30,0
11,75,751,1,38,25,3,1,99,99,3394,2,38,1,99,0
11,78,784,2,50,50,3,6,99,99,4538,4,58,6,99,0
11,78,784,1,50,50,3,5,99,99,4538,4,58,6,99,0
11,75,751,1,50,50,1,7,62,99,2872,2,56,7,62,0
76,48,482,2,83,65,3,7,99,99,2200,2,83,7,99,0
28,50,503,1,69,65,3,5,99,99,2283,4,84,5,99,0
28,50,503,2,82,65,3,7,99,99,2283,4,84,5,99,0
76,46,462,1,81,65,3,5,99,99,2179,4,89,7,99,0
76,46,462,2,89,65,3,7,99,99,2179,4,89,7,99,0
11,78,782,2,63,50,1,4,40,99,4715,8,63,4,40,0
11,78,782,1,56,50,1,5,61,99,4715,8,63,4,40,0
11,78,782,1,20,15,1,2,62,99,4715,8,63,4,40,0
11,78,782,1,21,15,3,6,99,99,4715,8,63,4,40,0
11,93,931,1,63,50,3,5,99,99,6622,2,63,5,99,0
11,91,912,1,29,25,1,4,62,99,5214,2,39,4,62,0
76,31,311,2,58,50,3,5,99,99,1389,6,88,7,99,0
76,31,311,1,50,50,1,7,52,99,1389,6,88,7,99,0
76,31,311,2,88,65,3,7,99,99,1389,6,88,7,99,0
11,78,781,2,62,50,1,4,51,99,4435,6,88,2,99,0
11,78,781,1,88,65,3,2,99,99,4435,6,88,2,99,0
11,78,781,1,19,15,3,3,99,99,4435,6,88,2,99,0
76,11,111,1,74,65,3,7,99,99,98,4,89,7,99,0
76,11,111,2,84,65,3,7,99,99,98,4,89,7,99,0
11,91,912,1,74,65,3,5,99,99,5576,4,85,5,99,0
11,91,912,2,79,65,3,6,99,99,5576,4,85,5,99,0
76,30,301,2,59,50,1,3,51,99,1037,4,60,3,51,0
76,30,301,1,54,50,1,7,40,99,1037,4,60,3,51,0
11,94,942,1,62,50,3,5,99,99,6828,4,63,2,51,0
11,94,942,2,63,50,1,2,51,99,6828,4,63,2,51,0
11,78,783,2,75,65,3,3,99,99,4458,4,86,5,99,0
11,78,783,1,77,65,3,5,99,99,4458,4,86,5,99,0
11,94,943,1,68,65,3,5,99,99,6941,4,86,5,99,0
11,94,943,2,86,65,3,5,99,99,6941,4,86,5,99,0
11,77,771,2,49,25,1,6,51,99,4251,4,49,6,51,0
11,77,771,1,28,25,1,4,40,99,4251,4,49,6,51,0
11,75,751,1,69,65,3,7,99,99,3160,4,88,7,99,0
11,75,751,2,88,65,3,7,99,99,3160,4,88,7,99,0
28,14,142,2,32,25,1,2,40,99,359,2,48,2,40,0
11,95,953,2,61,50,1,4,30,99,7720,2,61,4,30,0
76,34,343,1,78,65,3,1,99,99,1787,6,82,1,99,0
76,34,343,2,56,50,1,5,40,99,1787,6,82,1,99,0
76,34,343,1,20,15,1,3,30,99,1787,6,82,1,99,0
11,92,923,2,75,65,3,6,99,99,6119,2,75,6,99,0
11,75,751,1,46,25,1,4,40,99,2804,6,46,4,40,0
11,75,751,2,43,25,1,4,51,99,2804,6,46,4,40,0
11,75,751,1,16,15,3,6,99,99,2804,6,46,4,40,0
76,34,341,2,51,50,1,2,30,99,1857,6,63,5,99,0
76,34,341,1,63,50,3,5,99,99,1857,6,63,5,99,0
76,34,341,1,17,15,1,4,51,99,1857,6,63,5,99,0
76,32,321,2,76,65,1,3,30,99,1650,2,85,3,30,0
76,31,313,2,33,25,1,3,40,99,1447,4,45,6,20,0
76,31,313,1,45,25,1,6,20,99,1447,4,45,6,20,0
11,77,772,1,34,25,1,4,30,99,4096,6,85,7,99,0
11,77,772,2,78,65,3,7,99,99,4096,6,85,7,99,0
11,77,772,1,85,65,3,7,99,99,4096,6,85,7,99,0
11,95,951,2,29,25,3,4,99,99,7289,8,47,6,61,0
11,95,951,1,29,25,1,6,61,99,7289,8,47,6,61,0
11,95,951,1,19,15,3,6,99,99,7289,8,47,6,61,0
11,95,951,2,21,15,3,7,99,99,7289,8,47,6,61,0
11,78,784,2,67,65,3,4,99,99,4820,8,73,7,99,0
11,78,784,1,73,65,3,7,99,99,4820,8,73,7,99,0
11,78,784,2,41,25,1,1,30,99,4820,8,73,7,99,0
11,78,784,1,46,25,1,7,51,99,4820,8,73,7,99,0
76,12,121,1,30,25,1,5,20,99,210,2,45,1,99,0
76,12,121,2,45,25,3,1,99,99,210,2,45,1,99,0
11,78,784,2,57,50,3,4,99,99,4428,2,57,4,99,0
11,92,922,1,19,15,3,6,99,99,5761,4,40,7,99,0
11,92,922,1,25,25,2,6,99,6,5761,4,40,7,99,1
11,92,922,2,40,25,3,7,99,99,5761,4,40,7,99,0
11,92,922,2,15,15,3,6,99,99,5761,4,40,7,99,0
76,66,662,1,80,65,3,5,99,99,2622,4,80,5,99,0
76,66,662,2,53,50,1,4,30,99,2622,4,80,5,99,0
76,11,113,1,52,50,1,1,30,99,68,6,63,2,30,0
76,11,113,2,63,50,1,2,30,99,68,6,63,2,30,0
76,11,113,1,22,15,3,2,99,99,68,6,63,2,30,0
11,94,943,2,60,50,1,3,51,99,7214,4,60,3,51,0
11,94,943,2,23,15,3,4,99,99,7214,4,60,3,51,0
11,75,751,2,56,50,1,4,40,99,2865,4,59,4,40,0
11,75,751,1,19,15,1,4,52,99,2865,4,59,4,40,0
11,95,953,1,39,25,1,1,30,99,7352,4,47,3,40,0
11,95,953,2,33,25,1,3,40,99,7352,4,47,3,40,0
76,30,302,1,56,50,1,5,40,99,1108,4,64,5,52,0
76,30,302,2,64,50,1,5,52,99,1108,4,64,5,52,0
11,94,942,2,43,25,1,4,40,99,7268,2,43,4,40,0
11,94,942,1,28,25,1,4,51,99,7268,2,43,4,40,0
11,91,913,2,74,65,3,3,99,99,5176,2,74,3,99,0
28,76,763,1,58,50,1,5,61,99,3779,6,63,5,99,0
28,76,763,2,63,50,2,5,99,2,3779,6,63,5,99,1
28,76,763,1,21,15,1,5,61,99,3779,6,63,5,99,0
11,77,772,2,80,65,3,7,99,99,3944,2,80,7,99,0
28,27,272,1,83,65,3,3,99,99,563,4,83,3,99,0
28,27,272,2,83,65,3,2,99,99,563,4,83,3,99,0
11,93,932,1,89,65,3,5,99,99,6275,6,89,5,99,0
11,93,932,2,53,50,3,7,99,99,6275,6,89,5,99,0
11,93,932,1,43,25,3,7,99,99,6275,6,89,5,99,0
76,65,653,2,52,50,1,7,52,99,2516,8,64,7,52,0
76,65,653,1,64,50,1,5,20,99,2516,8,64,7,52,0
76,65,653,1,18,15,1,4,61,99,2516,8,64,7,52,0
76,65,653,1,20,15,1,4,62,99,2516,8,64,7,52,0
11,91,913,1,53,50,1,6,62,99,5455,2,62,6,62,0
11,94,943,1,43,25,1,3,51,99,6917,2,44,3,51,0
76,66,661,1,71,65,3,7,99,99,2603,4,86,7,99,0
76,66,661,2,70,65,3,7,99,99,2603,4,86,7,99,0
11,95,952,1,75,65,3,2,99,99,7365,4,75,2,99,0
11,95,952,2,65,65,3,6,99,99,7365,4,75,2,99,0
11,95,953,2,47,25,1,4,52,99,7432,4,47,4,52,0
11,95,953,1,47,25,2,4,99,3,7432,4,47,4,52,1
76,31,313,2,59,50,3,5,99,99,1422,4,89,5,99,0
76,31,313,1,76,65,3,5,99,99,1422,4,89,5,99,0
76,66,661,2,66,65,1,2,30,99,2645,2,66,2,30,0
76,66,661,1,60,50,1,3,40,99,2645,2,66,2,30,0
76,31,313,1,73,65,3,5,99,99,1161,2,73,5,99,0
76,31,311,1,66,65,3,7,99,99,1511,6,84,3,99,0
76,31,311,2,84,65,3,3,99,99,1511,6,84,3,99,0
76,31,311,2,47,25,2,4,99,1,1511,6,84,3,99,1
11,77,771,1,67,65,3,5,99,99,3950,2,67,5,99,0
28,27,273,2,83,65,3,2,99,99,635,4,83,2,99,0
28,27,273,1,83,65,3,1,99,99,635,4,83,2,99,0
11,92,921,2,83,65,3,5,99,99,5800,2,83,5,99,0
11,94,943,1,52,50,1,7,61,99,7104,2,52,7,61,0
11,93,931,1,51,50,1,4,20,99,6353,8,60,4,30,0
11,93,931,2,60,50,1,4,30,99,6353,8,60,4,30,0
11,93,931,1,22,15,1,4,61,99,6353,8,60,4,30,0
11,93,931,1,20,15,3,4,99,99,6353,8,60,4,30,0
11,94,943,2,26,25,1,4,51,99,7121,4,43,7,99,0
11,94,943,1,33,25,3,7,99,99,7121,4,43,7,99,0
76,11,111,2,39,25,3,3,99,99,140,4,63,6,61,0
76,11,111,1,63,50,1,6,61,99,140,4,63,6,61,0
76,31,313,2,27,25,1,4,51,99,1317,4,40,4,51,0
76,31,313,2,24,15,3,6,99,99,1317,4,40,4,51,0
11,91,913,1,84,65,3,3,99,99,5249,4,84,3,99,0
11,91,913,2,69,65,3,5,99,99,5249,4,84,3,99,0
11,92,922,2,84,65,3,5,99,99,6081,4,84,5,99,0
11,92,922,1,56,50,3,3,99,99,6081,4,84,5,99,0
76,31,311,2,18,15,2,4,99,2,1182,2,19,4,99,1
76,66,662,1,49,25,3,7,99,99,2690,2,49,7,99,0
76,34,343,2,23,15,1,3,51,99,1906,1,23,3,51,0
11,92,922,1,69,65,3,3,99,99,6128,4,87,5,99,0
11,92,922,2,75,65,3,5,99,99,6128,4,87,5,99,0
11,93,933,1,77,65,3,6,99,99,6527,4,86,4,99,0
11,93,933,2,86,65,3,4,99,99,6527,4,86,4,99,0
11,93,932,2,63,50,1,4,40,99,6522,2,63,4,40,0
11,77,772,1,66,65,3,4,99,99,4268,4,82,4,99,0
11,77,772,2,71,65,3,4,99,99,4268,4,82,4,99,0
11,91,913,1,48,25,1,5,61,99,5403,2,48,5,61,0
76,31,313,2,78,65,3,7,99,99,1622,2,78,7,99,0
76,34,341,2,51,50,1,5,51,99,1823,6,60,5,99,0
76,34,341,1,60,50,3,5,99,99,1823,6,60,5,99,0
76,34,341,1,29,25,2,1,99,5,1823,6,60,5,99,1
28,50,501,2,50,50,1,2,40,99,2361,8,59,7,40,0
28,50,501,1,54,50,1,7,40,99,2361,8,59,7,40,0
28,50,501,2,16,15,3,2,99,99,2361,8,59,7,40,0
28,50,501,1,16,15,1,4,52,99,2361,8,59,7,40,0
76,30,301,2,35,25,1,2,40,99,1115,2,35,2,40,0
76,31,313,2,61,50,1,2,30,99,1601,2,61,2,30,0
76,31,313,1,79,65,3,5,99,99,1595,2,79,5,99,0
11,92,921,2,54,50,1,5,62,99,6161,4,57,5,62,0
11,92,921,1,57,50,2,7,99,8,6161,4,57,5,62,1
76,31,313,1,35,25,1,5,61,99,1295,4,48,5,51,0
76,31,313,2,34,25,1,5,51,99,1295,4,48,5,51,0
11,95,952,2,36,25,1,1,40,99,7557,2,49,1,40,0
11,77,772,1,80,65,3,5,99,99,3917,6,80,5,99,0
11,77,772,2,58,50,1,2,30,99,3917,6,80,5,99,0
11,77,772,2,59,50,1,3,0,99,3917,6,80,5,99,0
11,91,913,2,52,50,3,6,99,99,5196,2,56,6,99,0
11,93,931,1,46,25,1,4,61,99,6311,4,46,4,61,0
11,93,931,2,39,25,1,4,40,99,6311,4,46,4,61,0
11,94,942,2,78,65,3,7,99,99,7234,2,78,7,99,0
28,27,273,1,46,25,1,5,62,99,731,6,49,5,62,0
28,27,273,2,49,25,1,5,62,99,731,6,49,5,62,0
28,27,273,2,17,15,3,6,99,99,731,6,49,5,62,0
94,2B,2B2,2,53,50,3,3,99,99,842,2,53,3,99,0
76,31,313,2,50,50,1,7,52,99,1324,6,62,7,52,0
76,31,313,1,52,50,1,7,20,99,1324,6,62,7,52,0
76,31,313,1,16,15,3,4,99,99,1324,6,62,7,52,0
76,82,822,2,47,25,1,5,30,99,5143,2,47,5,30,0
11,75,751,1,27,25,1,7,40,99,3302,2,49,7,40,0
11,92,921,2,23,15,1,2,40,99,6071,2,23,2,40,0
11,75,751,2,60,50,1,4,52,99,2948,6,61,7,62,0
11,75,751,1,58,50,1,7,62,99,2948,6,61,7,62,0
11,75,751,1,23,15,3,4,99,99,2948,6,61,7,62,0
11,77,775,1,53,50,1,6,20,99,3952,2,63,6,20,0
11,93,931,2,34,25,2,4,99,7,6613,8,49,3,40,1
11,93,931,1,28,25,1,3,40,99,6613,8,49,3,40,0
11,93,931,2,16,15,3,6,99,99,6613,8,49,3,40,0
11,93,931,1,24,15,2,2,99,4,6613,8,49,3,40,1
76,32,321,2,55,50,3,5,99,99,1644,4,56,5,99,0
76,32,321,2,19,15,1,4,51,99,1644,4,56,5,99,0
76,34,343,1,47,25,1,3,40,99,1777,5,48,6,30,0
76,34,343,2,45,25,1,6,30,99,1777,5,48,6,30,0
76,34,343,2,23,15,3,7,99,99,1777,5,48,6,30,0
11,78,783,2,61,50,1,3,30,99,4811,2,63,3,30,0
76,09,093,2,32,25,1,1,30,99,1,3,48,6,99,0
76,34,341,2,39,25,3,2,99,99,1918,2,41,2,99,0
76,30,301,1,62,50,3,4,99,99,903,4,62,4,99,0
76,30,301,2,54,50,3,1,99,99,903,4,62,4,99,0
76,66,662,1,52,50,1,3,30,99,2566,6,54,3,30,0
76,66,662,2,52,50,1,2,40,99,2566,6,54,3,30,0
76,66,662,1,19,15,3,4,99,99,2566,6,54,3,30,0
11,77,773,2,79,65,3,5,99,99,4031,2,79,5,99,0
11,95,951,1,36,25,1,1,20,99,7412,8,39,1,99,0
11,95,951,2,26,25,2,1,99,4,7412,8,39,1,99,1
11,95,951,1,17,15,3,4,99,99,7412,8,39,1,99,0
11,95,951,2,21,15,3,6,99,99,7412,8,39,1,99,0
11,92,922,1,80,65,3,5,99,99,5804,4,85,5,99,0
11,92,922,2,73,65,3,5,99,99,5804,4,85,5,99,0
11,95,953,1,53,50,1,1,30,99,7656,8,57,1,30,0
11,95,953,2,57,50,1,3,40,99,7656,8,57,1,30,0
11,95,953,1,18,15,3,4,99,99,7656,8,57,1,30,0
11,95,953,1,24,15,1,4,30,99,7656,8,57,1,30,0
11,95,951,1,63,50,1,3,20,99,7610,4,63,3,20,0
11,95,951,2,56,50,1,1,30,99,7610,4,63,3,20,0
11,95,951,2,30,25,1,2,51,99,7334,6,45,4,40,0
11,95,951,1,36,25,1,4,40,99,7334,6,45,4,40,0
11,95,951,2,22,15,3,6,99,99,7334,6,45,4,40,0
11,91,912,2,39,25,1,4,51,99,5197,4,45,2,40,0
11,91,912,1,45,25,1,2,40,99,5197,4,45,2,40,0
